source,target,weight
PPP1CA , P04296,1
HDAC2 , P04296,1
BRCA1 , P04296,1
USP7 , P04296,1
RUVBL1 , P04296,1
SYNCRIP , P04296,1
XRCC5 , P04296,1
SF3B1 , P04296,1
RAD50 , P04296,1
PPP1CA , P36313,1
PPP1CA , P30119,1
USP7 , P08393,1
SH3KBP1 , P08393,1
HDAC3 , P08393,1
HDAC4 , P08393,1
HDAC7 , P08393,1
HDAC5 , P08393,1
CCND3 , P08393,1
CBL , P08393,1
ARHGEF10L , P29882,1
PICK1 , P29882,1
CSNK2A1 , P03211,1
NAP1L1 , P03211,1
PICK1 , P03211,1
KPNA1 , P03211,1
KPNA2 , P03211,1
USP7 , P03211,1
SRSF1 , P03211,1
C1QBP , P03211,1
TERF2 , P03211,1
ORC2 , P03211,1
MDFI , P03211,1
CSNK2A2 , P03211,1
EBNA1BP2 , P03211,1
TSG101 , P03211,1
KPNB1 , O92837,1
KPNA2 , O92837,1
SP1 , O92837,1
PARP1 , O92837,1
KPNB1 , P03087,1
KPNA2 , P03087,1
SP1 , P03087,1
PARP1 , P03087,1
IPO5 , P03101,1
TNPO1 , P03101,1
KPNB1 , P03101,1
KPNA2 , P03101,1
IPO5 , P04012,1
TNPO1 , P04012,1
KPNA2 , P04012,1
TNPO1 , P36741,1
PATZ1 , P03107,1
TINAGL1 , P03107,1
MAN2B1 , P03107,1
GADD45GIP1 , P03107,1
IPO5 , P03107,1
TNPO1 , P03107,1
KPNB1 , P03107,1
KPNA2 , P03107,1
PATZ1 , P04013,1
TINAGL1 , P04013,1
MAN2B1 , P04013,1
GADD45GIP1 , P04013,1
PATZ1 , P03105,1
TINAGL1 , P03105,1
PML , P04489,1
RPA2 , P04489,1
RPA2 , P03265,1
ATR , P03265,1
ATRIP , P03265,1
GZMB , P03265,1
TOPBP1 , P03265,1
JUND , Q7LYY4,1
ENOX2 , P03206,1
GPRASP1 , P03206,1
ARMCX5-GPRASP2 , P03219,1
TSC22D4 , P03219,1
ENOX2 , P03219,1
GPRASP1 , P03219,1
RABAC1 , P03230,1
TRADD , P03230,1
ZMYND11 , P03230,1
EGFL7 , P03230,1
TRAF2 , P88961,1
IKBKG , P88961,1
HLA-A , P06927,1
ATP6V0A1 , P06927,1
GRN , Q1HVH9,1
CCHCR1 , Q1HVH9,1
GAPDH , Q1HVH9,1
HLA-B , Q1HVH9,1
IGLL1 , Q1HVH9,1
NUCB2 , Q1HVH9,1
CIR1 , Q1HVH9,1
RPL3 , Q1HVH9,1
CERS4 , Q1HVH9,1
HBB , Q1HVH9,1
CD74 , Q1HVH9,1
HLA-A , Q1HVH9,1
DNAJA3 , Q9WMX2,1
